Month,ID,Name,Age,AnnualIncome,MonthlyInhandSalary,NumBankAccounts,NumCreditCard,InterestRate,NumofLoan,TypeofLoan,Delayfromduedate,NumofDelayedPayment,ChangedCreditLimit,NumCreditInquiries,CreditMix,OutstandingDebt,CreditUtilizationRatio,CreditHistoryAge,PaymentofMinAmount,TotalEMIpermonth,Amountinvestedmonthly,PaymentBehaviour,MonthlyBalance,CreditScore,,,,,,,,,,,,
June,50,Nate Raymondj,38,95956.5,8279.375,8,4,11,2,"Personal Loan, and Student Loan",23,,11.94,2,Standard,1079.73,24.97857316,32 Years and 0 Months,No,95.52162878,761.0455291,LowspentMediumvaluepayments,251.3703422,Good,,,,,,,,,,,,
July,50,Nate Raymondj,38,95956.5,8279.375,8,4,11,2,"Personal Loan, and Student Loan",23,10,11.94,2,Standard,1079.73,28.32191417,32 Years and 1 Months,NM,95.52162878,777.6020727,Low_spent_Medium_value_payments,234.8137985,Good,,,,,,,,,,,,
August,50,Nate Raymondj,38_,95956.5,8279.375,8,4,11,2,"Personal Loan, and Student Loan",23,,11.94,2,Standard,1079.73,41.341414,32 Years and 2 Months,NM,95.52162878,552.1106828,Low_spent_Large_value_payments,450.3051884,Good,,,,,,,,,,,,
January,51,,25,49967.01,4091.9175,7,6,31,6,"Auto Loan, Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Student Loan",27,11,19.87,11,Standard,2253.95,28.87573769,16 Years and 10 Months,Yes,156.0033117,66.93199535,HighspentLargevaluepayments,426.256443,Poor,,,,,,,,,,,,
February,51,Edwardk,25,49967.01,4091.9175,7,6,31,6,"Auto Loan, Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Student Loan",27,11,19.87,11,Standard,2253.95,23.11502218,16 Years and 11 Months,Yes,156.0033117,132.2857313,LowspentLargevaluepayments,390.9027071,Poor,,,,,,,,,,,,
March,51,Edwardk,26,49967.01,4091.9175,7,6,31,6,"Auto Loan, Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Student Loan",27,11,19.87,11,Standard,2253.95,38.57921381,17 Years and 0 Months,Yes,156.0033117,80.27846003,HighspentMediumvaluepayments,422.9099783,Poor,,,,,,,,,,,,
April,51,Edwardk,26,49967.01,4091.9175,7,6,31,6,"Auto Loan, Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Student Loan",27,11,19.87,11,Standard,2253.95,22.84117831,17 Years and 1 Months,Yes,156.0033117,373.1685164,LowspentMediumvaluepayments,160.019922,Poor,,,,,,,,,,,,
May,51,Edwardk,26,49967.01,4091.9175,7,6,31,6,"Auto Loan, Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Student Loan",27,11,19.87,11,,2253.95,33.91270307,17 Years and 2 Months,NM,156.0033117,192.9207713,!@9#%8,350.267667,Poor,,,,,,,,,,,,
June,51,Edwardk,26,49967.01,4091.9175,6,5,31,6,"Auto Loan, Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Student Loan",27,14,24.87,11,Standard,2253.95,37.33034027,17 Years and 3 Months,Yes,156.0033117,,!@9#%8,436.3089192,Poor,,,,,,,,,,,,
July,51,Edwardk,26,49967.01,4091.9175,6,5,31,6,"Auto Loan, Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Student Loan",27,10,16.87,12,_,2253.95,33.17055465,17 Years and 4 Months,Yes,156.0033117,59.49541612,High_spent_Medium_value_payments,443.6930222,Poor,,,,,,,,,,,,
August,51,Edwardk,3052,49967.01,4091.9175,6,5,31,6,"Auto Loan, Payday Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Student Loan",27,11,19.87,12,Standard,2253.95,31.5207818,17 Years and 5 Months,Yes,156.0033117,116.361294,High_spent_Medium_value_payments,386.8271444,Poor,,,,,,,,,,,,
January,52,Simon Jessope,14,39887.22,3224.935,9,9,16,5,"Not Specified, Student Loan, Auto Loan, Home Equity Loan, and Mortgage Loan",57,21,17.25,10,Bad,3119.6,30.18805936,12 Years and 5 Months,Yes,133.4708452,198.9967508,LowspentMediumvaluepayments,270.025904,Poor,,,,,,,,,,,,
February,52,Simon Jessope,14,39887.22,3224.935,9,9,16,5,"Not Specified, Student Loan, Auto Loan, Home Equity Loan, and Mortgage Loan",59,3104,11.25,,,3119.6,26.11222201,12 Years and 6 Months,Yes,133.4708452,153.2707254,!@9#%8,295.7519293,Poor,,,,,,,,,,,,
March,52,,14,39887.22,3224.935,9,9,16,5,"Not Specified, Student Loan, Auto Loan, Home Equity Loan, and Mortgage Loan",57,19,17.25,14,,3119.6,38.23896598,12 Years and 7 Months,Yes,133.4708452,319.4923738,LowspentSmallvaluepayments,159.5302809,Poor,,,,,,,,,,,,
April,52,Simon Jessope,14,39887.22,3224.935,9,9,16,5,"Not Specified, Student Loan, Auto Loan, Home Equity Loan, and Mortgage Loan",52,,17.25,14,Bad,3119.6,37.08960444,12 Years and 8 Months,NM,133.4708452,,LowspentSmallvaluepayments,176.9314779,Poor,,,,,,,,,,,,
May,52,Simon Jessope,14,39887.22,3224.935,9,9,16,5,"Not Specified, Student Loan, Auto Loan, Home Equity Loan, and Mortgage Loan",54,19,17.25,14,Bad,3119.6,36.97060762,12 Years and 9 Months,Yes,133.4708452,96.09548178,HighspentMediumvaluepayments,342.927173,Poor,,,,,,,,,,,,
June,52,Simon Jessope,14,39887.22,3224.935,9,9,16,5,"Not Specified, Student Loan, Auto Loan, Home Equity Loan, and Mortgage Loan",57,18,17.25,14,,3119.6,31.24846249,12 Years and 10 Months,Yes,133.4708452,123.9598696,HighspentMediumvaluepayments,315.0627851,Poor,,,,,,,,,,,,
July,52,Simon Jessope,14,39887.22,3224.935,9,9,16,5,"Not Specified, Student Loan, Auto Loan, Home Equity Loan, and Mortgage Loan",57,19,17.25,14,Bad,3119.6,24.14813227,12 Years and 11 Months,Yes,133.4708452,111.6678075,High_spent_Small_value_payments,337.3548473,Poor,,,,,,,,,,,,
August,52,Simon Jessope,14,39887.22,3224.935,9,9,16,-100,"Not Specified, Student Loan, Auto Loan, Home Equity Loan, and Mortgage Loan",57,22,17.25,14,Bad,3119.6,34.97086572,13 Years and 0 Months,NM,133.4708452,145.9405486,High_spent_Small_value_payments,303.0821062,Standard,,,,,,,,,,,,
January,53,Kazunorit,43,14129.76,1012.48,8,5,21,8,"Student Loan, Payday Loan, Personal Loan, Not Specified, Mortgage Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",62,17,5.51,6,Bad,4071.62,36.1372924,12 Years and 7 Months,Yes,81.71265501,124.4459203,LowspentSmallvaluepayments,185.0894247,Poor,,,,,,,,,,,,
February,53,Kazunorit,44,14129.76,1012.48,8,5,21,8,"Student Loan, Payday Loan, Personal Loan, Not Specified, Mortgage Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",62,18,5.51,6,,4071.62,28.13414922,12 Years and 8 Months,NM,81.71265501,31.28654276,LowspentMediumvaluepayments,268.2488022,Poor,,,,,,,,,,,,
March,53,,44,14129.76,1012.48,8,5,21,8,"Student Loan, Payday Loan, Personal Loan, Not Specified, Mortgage Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",65,,5.51,6,,4071.62,39.16106265,12 Years and 9 Months,Yes,81.71265501,112.3614498,LowspentSmallvaluepayments,197.1738952,Poor,,,,,,,,,,,,
April,53,Kazunorit,44,14129.76,1012.48,8,5,21,8,"Student Loan, Payday Loan, Personal Loan, Not Specified, Mortgage Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",62,21,5.51,6,,4071.62,33.11102175,12 Years and 10 Months,Yes,81.71265501,24.67934851,HighspentMediumvaluepayments,244.8559965,Poor,,,,,,,,,,,,
May,53,Kazunorit,44,2592822,1012.48,8,5,21,8,"Student Loan, Payday Loan, Personal Loan, Not Specified, Mortgage Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",62,21,12.51,6,Bad,4071.62,26.42915211,NA,Yes,81.71265501,,LowspentSmallvaluepayments,179.1095355,Poor,,,,,,,,,,,,
June,53,Kazunorit,44,14129.76,1012.48,8,5,21,8,"Student Loan, Payday Loan, Personal Loan, Not Specified, Mortgage Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",62,18,5.51,6,,4071.62,29.81521347,13 Years and 0 Months,Yes,81.71265501,47.31078336,LowspentMediumvaluepayments,252.2245616,Poor,,,,,,,,,,,,
July,53,Kazunorit,44,14129.76,,8,5,21,8,"Student Loan, Payday Loan, Personal Loan, Not Specified, Mortgage Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",64,,-1.49,6,Bad,4071.62,37.09478339,13 Years and 1 Months,Yes,70.97506655,105.3029678,Low_spent_Small_value_payments,204.2323772,Poor,,,,,,,,,,,,
August,53,Kazunorit,44,14129.76,1023.217588,8,5,21,8,"Student Loan, Payday Loan, Personal Loan, Not Specified, Mortgage Loan, Student Loan, Debt Consolidation Loan, and Debt Consolidation Loan",62,18,5.51,6,Bad,4071.62,35.66937314,13 Years and 2 Months,NM,70.97506655,33.37622926,High_spent_Medium_value_payments,236.1591157,Poor,,,,,,,,,,,,
January,54,Ekr,42,123732.32,10416.02667,4,3,11,0,,15,8,11.92,3,Good,1154.46,43.36806475,27 Years and 3 Months,No,0,,HighspentMediumvaluepayments,940.3944828,Good,,,,,,,,,,,,
February,54,Ekr,42,123732.32,10416.02667,4,3,11,0,,15,8,11.92,3,Good,1154.46,31.13019514,27 Years and 4 Months,No,0,10000,HighspentLargevaluepayments,1157.857522,Good,,,,,,,,,,,,
March,54,Ekr,43,123732.32,10416.02667,4,3,11,0,,15,8,12.92,3,Good,1154.46,32.68645906,27 Years and 5 Months,No,0,874.7145585,LowspentMediumvaluepayments,446.8881082,Standard,,,,,,,,,,,,
April,54,Ekr,43,123732.32,10416.02667,4,3,11,-100,,15,8,11.92,3,Good,1154.46,38.99063467,27 Years and 6 Months,No,0,532.1607307,LowspentMediumvaluepayments,789.4419359,Standard,,,,,,,,,,,,
May,54,Ekr,43,123732.32,10416.02667,4,3,11,0,,15,,11.92,3,Good,1154.46,36.64159184,27 Years and 7 Months,No,0,129.1812728,HighspentMediumvaluepayments,1162.421394,Standard,,,,,,,,,,,,
June,54,Ekr,43,123732.32,10416.02667,4,3,11,0,,15,8,11.92,3,,1154.46,31.24192774,27 Years and 8 Months,No,0,96.70297297,HighspentLargevaluepayments,1184.899694,Standard,,,,,,,,,,,,
July,54,Ekr,43,123732.32,10416.02667,4,3,11,0,,18,8,13.92,3,Good,1154.46,31.11476599,27 Years and 9 Months,No,0,170.8514935,High_spent_Medium_value_payments,1120.751173,Standard,,,,,,,,,,,,
August,54,Ekr,43,123732.32,10416.02667,4,3,11,0,,15,8,8.92,,Good,1154.46,26.26810601,27 Years and 10 Months,No,0,589.8279399,Low_spent_Medium_value_payments,731.7747268,Standard,,,,,,,,,,,,
January,55,Herbert Lashb,36,17251.38,1654.615,6,514,7,7,"Personal Loan, Student Loan, Home Equity Loan, Not Specified, Home Equity Loan, Home Equity Loan, and Mortgage Loan",8,13,15.06,6,,2431.64,29.41972183,11 Years and 4 Months,Yes,57.35116519,,LowspentSmallvaluepayments,273.3735401,Standard,,,,,,,,,,,,
February,55,Herbert Lashb,36,17251.38,1654.615,6,3,7,7,"Personal Loan, Student Loan, Home Equity Loan, Not Specified, Home Equity Loan, Home Equity Loan, and Mortgage Loan",8,15,15.06,6,Standard,2431.64,37.22594439,11 Years and 5 Months,NM,57.35116519,26.59867398,HighspentLargevaluepayments,321.5116608,Standard,,,,,,,,,,,,
March,55,Herbert Lashb,37,17251.38,1654.615,6,3,7,7,"Personal Loan, Student Loan, Home Equity Loan, Not Specified, Home Equity Loan, Home Equity Loan, and Mortgage Loan",5,12,15.06,6,Standard,2431.64,27.59559906,11 Years and 6 Months,Yes,57.35116519,132.443901,LowspentLargevaluepayments,245.6664338,Standard,,,,,,,,,,,,
April,55,,37,17251.38,1654.615,6,3,7,7,"Personal Loan, Student Loan, Home Equity Loan, Not Specified, Home Equity Loan, Home Equity Loan, and Mortgage Loan",10,15,15.06,6,Standard,2431.64,28.12269302,11 Years and 7 Months,Yes,57.35116519,169.3026601,LowspentSmallvaluepayments,228.8076747,Standard,,,,,,,,,,,,
May,55,,37,17251.38,1654.615,6,3,7,7,"Personal Loan, Student Loan, Home Equity Loan, Not Specified, Home Equity Loan, Home Equity Loan, and Mortgage Loan",8,15,15.06,10,Standard,2431.64,33.91486539,11 Years and 8 Months,Yes,57.35116519,71.9105158,HighspentSmallvaluepayments,296.199819,Standard,,,,,,,,,,,,
June,55,Herbert Lashb,37,17251.38,1654.615,6,3,7,7,"Personal Loan, Student Loan, Home Equity Loan, Not Specified, Home Equity Loan, Home Equity Loan, and Mortgage Loan",5,15,15.06,10,Standard,2431.64,32.70581751,11 Years and 9 Months,Yes,57.35116519,54.07668314,LowspentMediumvaluepayments,334.0336517,Standard,,,,,,,,,,,,
July,55,Herbert Lashb,37,17251.38,1654.615,6,3,7,7,"Personal Loan, Student Loan, Home Equity Loan, Not Specified, Home Equity Loan, Home Equity Loan, and Mortgage Loan",8,15,15.06,,Standard,2431.64,31.30660977,11 Years and 10 Months,Yes,57.35116519,93.28420494,Low_spent_Small_value_payments,304.8261299,Standard,,,,,,,,,,,,
August,55,Herbert Lashb,37,17251.38,,6,3,7,7,"Personal Loan, Student Loan, Home Equity Loan, Not Specified, Home Equity Loan, Home Equity Loan, and Mortgage Loan",3,15,15.06,10,Standard,2431.64,32.94484421,NA,Yes,57.35116519,23.47260473,High_spent_Large_value_payments,324.6377301,Standard,,,,,,,,,,,,
January,56,Christophd,22,36822.29,3132.524167,8,7,6,4,"Not Specified, Personal Loan, Credit-Builder Loan, and Home Equity Loan",14,19,5.79,4,Standard,125.25,26.61287178,NA,No,81441,121.4083759,LowspentSmallvaluepayments,386.0433278,Standard,,,,,,,,,,,,
February,56,Christophd,22,36822.29,3132.524167,8,7,6,4,"Not Specified, Personal Loan, Credit-Builder Loan, and Home Equity Loan",14,19,5.79,4,Standard,125.25,23.33674451,24 Years and 9 Months,No,95.80071292,259.7908045,LowspentLargevaluepayments,227.6608993,Standard,,,,,,,,,,,,
March,56,Christophd,23,36822.29,3132.524167,8,7,6,4,"Not Specified, Personal Loan, Credit-Builder Loan, and Home Equity Loan",14,17,5.79,5,,125.25,29.24844181,24 Years and 10 Months,No,95.80071292,132.9440996,LowspentLargevaluepayments,354.5076041,Standard,,,,,,,,,,,,
April,56,Christophd,23,36822.29,3132.524167,8,7,6,4,"Not Specified, Personal Loan, Credit-Builder Loan, and Home Equity Loan",14,19,5.79,5,Standard,125.25,35.08033049,24 Years and 11 Months,No,95.80071292,73.93253934,HighspentLargevaluepayments,383.5191644,Good,,,,,,,,,,,,
May,56,Christophd,23,36822.29,3132.524167,8,7,6,4,"Not Specified, Personal Loan, Credit-Builder Loan, and Home Equity Loan",14,19,5.79,5,,125.25,28.3106512,25 Years and 0 Months,No,95.80071292,114.4824364,HighspentMediumvaluepayments,352.9692673,Good,,,,,,,,,,,,
June,56,Christophd,23,36822.29,3132.524167,8,7,6,4,"Not Specified, Personal Loan, Credit-Builder Loan, and Home Equity Loan",16,18,5.79,5,Standard,125.25,39.64980173,25 Years and 1 Months,No,95.80071292,38.11405466,HighspentMediumvaluepayments,429.3376491,Good,,,,,,,,,,,,
July,56,Christophd,23,36822.29,3132.524167,8,7,6,4,"Not Specified, Personal Loan, Credit-Builder Loan, and Home Equity Loan",14,20,5.79,5,_,125.25,34.63833719,25 Years and 2 Months,No,95.80071292,41.52981324,High_spent_Medium_value_payments,425.9218905,Good,,,,,,,,,,,,
August,56,Christophd,23,36822.29,3132.524167,8,7,6,4,"Not Specified, Personal Loan, Credit-Builder Loan, and Home Equity Loan",15,19,5.79,5,Standard,125.25,39.05658586,25 Years and 3 Months,No,95.80071292,251.9834114,Low_spent_Medium_value_payments,245.4682923,Good,,,,,,,,,,,,
January,57,Mikeh,25,80108.31,6866.6925,5,3,17,0,,25,19,21.22,1,Standard,997.28,38.73267646,17 Years and 7 Months,Yes,0,107.0656525,!@9#%8,829.6035975,Standard,,,,,,,,,,,,
February,57,,25,80108.31,6866.6925,5,3,17,-100,,28,19,14.22,1,Standard,997.28,26.17314465,17 Years and 8 Months,Yes,0,52.18981024,HighspentLargevaluepayments,874.4794398,Standard,,,,,,,,,,,,
March,57,Mikeh,25,80108.31,6866.6925,5,3,17,0,,25,16,14.22,1,Standard,997.28,26.72857312,17 Years and 9 Months,Yes,0,549.0992911,LowspentLargevaluepayments,407.5699589,Standard,,,,,,,,,,,,
April,57,Mikeh,25,80108.31,6866.6925,5,3,17,0,,20,21,14.22,1,Standard,997.28,39.91463675,17 Years and 10 Months,Yes,0,123.1885231,HighspentLargevaluepayments,803.4807269,Standard,,,,,,,,,,,,
May,57,Mikeh,25,80108.31,6866.6925,5,3,17,0,,25,19,14.22,1,,997.28,32.94802192,17 Years and 11 Months,Yes,0,341.3768772,LowspentMediumvaluepayments,625.2923728,Standard,,,,,,,,,,,,
June,57,Mikeh,25,80108.31,6866.6925,5,3,17,0,,25,,14.22,1,,997.28,32.40424137,18 Years and 0 Months,Yes,0,228.0964591,HighspentMediumvaluepayments,708.5727909,Standard,,,,,,,,,,,,
July,57,Mikeh,25,80108.31,,5,3,17,0,,25,19,14.22,4,Standard,997.28,39.36288149,18 Years and 1 Months,Yes,0,127.2650164,High_spent_Large_value_payments,799.4042336,Standard,,,,,,,,,,,,
August,57,Mikeh,25,80108.31,6866.6925,5,3,17,0,,25,19,14.22,4,Standard,997.28,28.12327833,18 Years and 2 Months,Yes,0,127.886289,!@9#%8,808.782961,Standard,,,,,,,,,,,,
January,58,Tim Hepherp,20,69977.6,5978.466667,10,7,20,9,"Auto Loan, Personal Loan, Mortgage Loan, Auto Loan, Student Loan, Auto Loan, Mortgage Loan, Student Loan, and Auto Loan",49,18,6.81,11,,3042.36,37.2171993,12 Years and 8 Months,Yes,485.750431,405.1493636,LowspentSmallvaluepayments,0,Standard,,,,,,,,,,,,
February,58,Tim Hepherp,20,69977.6,5978.466667,10,7,20,9,"Auto Loan, Personal Loan, Mortgage Loan, Auto Loan, Student Loan, Auto Loan, Mortgage Loan, Student Loan, and Auto Loan",49,18,6.81,11,Bad,3042.36,30.46783632,12 Years and 9 Months,Yes,485.750431,470.8372043,LowspentLargevaluepayments,0,Poor,,,,,,,,,,,,
March,58,Tim Hepherp,20,69977.6,5978.466667,10,7,20,9,"Auto Loan, Personal Loan, Mortgage Loan, Auto Loan, Student Loan, Auto Loan, Mortgage Loan, Student Loan, and Auto Loan",49,18,6.81,11,Bad,3042.36,35.60710564,12 Years and 10 Months,Yes,485.750431,177.9055932,LowspentMediumvaluepayments,214.1906424,Standard,,,,,,,,,,,,
April,58,,20,69977.6,5978.466667,10,7,20,9,"Auto Loan, Personal Loan, Mortgage Loan, Auto Loan, Student Loan, Auto Loan, Mortgage Loan, Student Loan, and Auto Loan",49,18,6.81,11,,3042.36,23.84176883,NA,Yes,485.750431,250.7661703,LowspentMediumvaluepayments,141.3300654,Poor,,,,,,,,,,,,
May,58,Tim Hepherp,20,69977.6,5978.466667,10,7,20,9,"Auto Loan, Personal Loan, Mortgage Loan, Auto Loan, Student Loan, Auto Loan, Mortgage Loan, Student Loan, and Auto Loan",49,18,6.81,11,Bad,3042.36,26.20467951,13 Years and 0 Months,Yes,485.750431,122.7310698,!@9#%8,229.3651659,Poor,,,,,,,,,,,,
June,58,Tim Hepherp,21,69977.6,5978.466667,10,7,20,9,"Auto Loan, Personal Loan, Mortgage Loan, Auto Loan, Student Loan, Auto Loan, Mortgage Loan, Student Loan, and Auto Loan",54,20,6.81,11,Bad,3042.36,28.13069484,NA,NM,485.750431,332.2100424,LowspentMediumvaluepayments,59.88619327,Poor,,,,,,,,,,,,
July,58,Tim Hepherp,21,69977.6,5978.466667,10,7,20,9,"Auto Loan, Personal Loan, Mortgage Loan, Auto Loan, Student Loan, Auto Loan, Mortgage Loan, Student Loan, and Auto Loan",49,19,6.81,11,Bad,3042.36,30.35127201,13 Years and 2 Months,Yes,485.750431,545.6759427,Low_spent_Medium_value_payments,0,Standard,,,,,,,,,,,,
August,58,Tim Hepherp,21,69977.6,5978.466667,10,7,20,9,"Auto Loan, Personal Loan, Mortgage Loan, Auto Loan, Student Loan, Auto Loan, Mortgage Loan, Student Loan, and Auto Loan",49,18,6.81,11,Bad,3042.36,36.25111095,NA,NM,485.750431,510.0147632,Low_spent_Large_value_payments,0,Standard,,,,,,,,,,,,
January,59,Granto,16,78988.48,6449.373333,9,5,29,7,"Auto Loan, Credit-Builder Loan, Mortgage Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Debt Consolidation Loan",27,17,15.27,9,Bad,1746.9,34.70500518,10 Years and 1 Months,Yes,291.7827603,88.07126674,HighspentMediumvaluepayments,515.0833063,Poor,,,,,,,,,,,,
February,59,Granto,16,78988.48,6449.373333,9,5,29,7,"Auto Loan, Credit-Builder Loan, Mortgage Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Debt Consolidation Loan",27,17,15.27,9,Bad,1746.9,35.1549357,10 Years and 2 Months,Yes,291.7827603,419.575712,HighspentSmallvaluepayments,193.578861,Poor,,,,,,,,,,,,
March,59,Granto,16,78988.48,6449.373333,9,5,29,7,"Auto Loan, Credit-Builder Loan, Mortgage Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Debt Consolidation Loan",27,17,15.27,9,Bad,1746.9,28.38967163,10 Years and 3 Months,Yes,291.7827603,295.6050491,LowspentLargevaluepayments,327.5495239,Poor,,,,,,,,,,,,
April,59,Granto,16,78988.48,6449.373333,9,5,29,7,"Auto Loan, Credit-Builder Loan, Mortgage Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Debt Consolidation Loan",27,17,15.27,9,Bad,1746.9,39.64707758,10 Years and 4 Months,Yes,291.7827603,178.1531521,!@9#%8,455.0014209,Standard,,,,,,,,,,,,
May,59,Granto,16,78988.48,6449.373333,9,5,29,7,"Auto Loan, Credit-Builder Loan, Mortgage Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Debt Consolidation Loan",27,17,15.27,9,,1746.9,37.47919344,10 Years and 5 Months,Yes,291.7827603,,LowspentMediumvaluepayments,75.19634822,Poor,,,,,,,,,,,,
June,59,Granto,16,78988.48,6449.373333,9,5,29,7,"Auto Loan, Credit-Builder Loan, Mortgage Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Debt Consolidation Loan",27,15,15.27,9,Bad,1746.9,32.4955483,10 Years and 6 Months,Yes,291.7827603,399.2485836,LowspentMediumvaluepayments,233.9059894,Poor,,,,,,,,,,,,
July,59,Granto,16,78988.48,6449.373333,9,5,29,7,"Auto Loan, Credit-Builder Loan, Mortgage Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Debt Consolidation Loan",22,17,_,9,Bad,1746.9,38.1635711,10 Years and 7 Months,NM,291.7827603,456.3694645,Low_spent_Medium_value_payments,176.7851085,Poor,,,,,,,,,,,,
August,59,Granto,16,78988.48,6449.373333,9,5,29,7,"Auto Loan, Credit-Builder Loan, Mortgage Loan, Debt Consolidation Loan, Debt Consolidation Loan, Not Specified, and Debt Consolidation Loan",27,17,10.27,9,Bad,1746.9,28.95543808,10 Years and 8 Months,Yes,291.7827603,162.0816014,!@9#%8,431.0729716,Poor,,,,,,,,,,,,
January,60,Ermans,45,41746.76,3651.896667,8,5,5261,3,"Mortgage Loan, Personal Loan, and Not Specified",62,21,9.81,8,Bad,1936.79,37.70526076,19 Years and 1 Months,Yes,102.2833975,425.1038222,LowspentSmallvaluepayments,127.8024469,Poor,,,,,,,,,,,,
February,60,Ermans,45,41746.76,3651.896667,8,5,31,3,"Mortgage Loan, Personal Loan, and Not Specified",62,22,9.81,8,Bad,1936.79,30.0899524,19 Years and 2 Months,Yes,102.2833975,31.56000966,HighspentLargevaluepayments,471.3462595,Standard,,,,,,,,,,,,
March,60,Ermans,45,41746.76,3651.896667,8,5,31,3,"Mortgage Loan, Personal Loan, and Not Specified",62,20,3.81,8,Bad,1936.79,24.03858303,19 Years and 3 Months,Yes,102.2833975,150.747271,HighspentMediumvaluepayments,362.1589981,Standard,,,,,,,,,,,,
April,60,Ermans,45,41746.76,3651.896667,8,5,31,3,"Mortgage Loan, Personal Loan, and Not Specified",62,21,9.81,11,Bad,1936.79,37.58178658,19 Years and 4 Months,Yes,102.2833975,134.42247,LowspentLargevaluepayments,398.4837991,Poor,,,,,,,,,,,,
May,60,Ermans,45,41746.76,3651.896667,8,5,31,3,"Mortgage Loan, Personal Loan, and Not Specified",62,18,9.81,11,Bad,1936.79,30.25268542,19 Years and 5 Months,Yes,102.2833975,42.79187097,HighspentLargevaluepayments,460.1143982,Standard,,,,,,,,,,,,
June,60,Ermans,46,41746.76,3651.896667,8,5,31,3,"Mortgage Loan, Personal Loan, and Not Specified",67,21,9.81,11,Bad,1936.79,32.15961047,19 Years and 6 Months,Yes,102.2833975,199.1276057,HighspentSmallvaluepayments,323.7786634,Poor,,,,,,,,,,,,
July,60,Ermans,46,41746.76,,8,5,31,3,"Mortgage Loan, Personal Loan, and Not Specified",59,23,9.81,11,Bad,1936.79,23.1789381,19 Years and 7 Months,Yes,102.2833975,143.6062003,Low_spent_Small_value_payments,409.3000689,Poor,,,,,,,,,,,,
August,60,Ermans,46,41746.76,3651.896667,8,5,31,3,"Mortgage Loan, Personal Loan, and Not Specified",62,21,9.81,11,Bad,1936.79,32.94553479,NA,Yes,102.2833975,85.99686894,High_spent_Large_value_payments,416.9094002,Poor,,,,,,,,,,,,
January,61,Isabel Reynoldsb,21,19981.6,1459.133333,10,8,20,7,"Credit-Builder Loan, Home Equity Loan, Home Equity Loan, Student Loan, Student Loan, Home Equity Loan, and Credit-Builder Loan",54,,23.58,12,Bad,4834.59,38.16554553,10 Years and 2 Months,NM,78.41827155,69.78240333,LowspentSmallvaluepayments,287.7126585,Standard,,,,,,,,,,,,
February,61,Isabel Reynoldsb,21,19981.6,1459.133333,10,8,20,7,"Credit-Builder Loan, Home Equity Loan, Home Equity Loan, Student Loan, Student Loan, Home Equity Loan, and Credit-Builder Loan",54,21,23.58,12,,4834.59,29.04463822,10 Years and 3 Months,Yes,78.41827155,35.92166782,HighspentSmallvaluepayments,291.573394,Poor,,,,,,,,,,,,
March,61,Isabel Reynoldsb,22,19981.6,1459.133333,10,8,3238,7,"Credit-Builder Loan, Home Equity Loan, Home Equity Loan, Student Loan, Student Loan, Home Equity Loan, and Credit-Builder Loan",54,21,23.58,12,,4834.59,26.7842801,NA,Yes,78.41827155,,LowspentMediumvaluepayments,236.9991171,Poor,,,,,,,,,,,,
April,61,Isabel Reynoldsb,22,19981.6,1459.133333,10,8,20,7,"Credit-Builder Loan, Home Equity Loan, Home Equity Loan, Student Loan, Student Loan, Home Equity Loan, and Credit-Builder Loan",54,21,23.58,,Bad,4834.59,35.05013881,10 Years and 5 Months,Yes,78.41827155,69.46880384,LowspentMediumvaluepayments,278.0262579,Poor,,,,,,,,,,,,
May,61,Isabel Reynoldsb,22,19981.6,1459.133333,10,8,20,7,"Credit-Builder Loan, Home Equity Loan, Home Equity Loan, Student Loan, Student Loan, Home Equity Loan, and Credit-Builder Loan",54,21,23.58,12,,4834.59,34.31347599,10 Years and 6 Months,Yes,78.41827155,10000,LowspentSmallvaluepayments,239.4320793,Poor,,,,,,,,,,,,
